title,paragraph,gold_label
Metamorphosis,"But then he said to himself: “Before it strikes quarter past seven I’ll definitely have to have got properly out of bed. And by then somebody will have come round from work to ask what’s happened to me as well, as they open up at work before seven o’clock.” And so he set himself to the task of swinging the entire length of his body out of the bed all at the same time. If he succeeded in falling out of bed in this way and kept his head raised as he did so he could probably avoid injuring it. His back seemed to be quite hard, and probably nothing would happen to it falling onto the carpet. His main concern was for the loud noise he was bound to make, and which even through all the doors would probably raise concern if not alarm. But it was something that had to be risked.",high
Metamorphosis,"When explaining things, his father repeated himself several times, partly because it was a long time since he had been occupied with these matters himself and partly because Gregor’s mother did not understand everything the first time. From these repeated explanations Gregor learned, to his pleasure, that despite all their misfortunes there was still some money available from the old days. It was not a lot, but it had not been touched in the meantime and some interest had accumulated. Besides that, they had not been using up all the money that Gregor had been bringing home every month, keeping only a little for himself, so that that, too, had been accumulating. Behind the door, Gregor nodded with enthusiasm in his pleasure at this unexpected thrift and caution. He could actually have used this surplus money to reduce his father’s debt to his boss, and the day when he could have freed himself from that job would have come much closer, but now it was certainly better the way his father had done things.",high
Metamorphosis,"It was a simple matter to throw off the covers; he only had to blow himself up a little and they fell off by themselves. But it became difficult after that, especially as he was so exceptionally broad. He would have used his arms and his hands to push himself up; but instead of them he only had all those little legs continuously moving in different directions, and which he was moreover unable to control. If he wanted to bend one of them, then that was the first one that would stretch itself out; and if he finally managed to do what he wanted with that leg, all the others seemed to be set free and would move about painfully. “This is something that can’t be done in bed”, Gregor said to himself, “so don’t keep trying to do it”.",high
Metamorphosis,"He spent the whole night there. Some of the time he passed in a light sleep, although he frequently woke from it in alarm because of his hunger, and some of the time was spent in worries and vague hopes which, however, always led to the same conclusion: for the time being he must remain calm, he must show patience and the greatest consideration so that his family could bear the unpleasantness that he, in his present condition, was forced to impose on them.",high
Metamorphosis,"This was how Gregor received his food each day now, once in the morning while his parents and the maid were still asleep, and the second time after everyone had eaten their meal at midday as his parents would sleep for a little while then as well, and Gregor’s sister would send the maid away on some errand. Gregor’s father and mother certainly did not want him to starve either, but perhaps it would have been more than they could stand to have any more experience of his feeding than being told about it, and perhaps his sister wanted to spare them what distress she could as they were indeed suffering enough.",none
Metamorphosis,"Gregor’s father staggered back to his seat, feeling his way with his hands, and fell into it; it looked as if he was stretching himself out for his usual evening nap but from the uncontrolled way his head kept nodding it could be seen that he was not sleeping at all. Throughout all this, Gregor had lain still where the three gentlemen had first seen him. His disappointment at the failure of his plan, and perhaps also because he was weak from hunger, made it impossible for him to move. He was sure that everyone would turn on him any moment, and he waited. He was not even startled out of this state when the violin on his mother’s lap fell from her trembling fingers and landed loudly on the floor.",low
Metamorphosis,"“Gregor”, said his father now from the room to his left, “the chief clerk has come round and wants to know why you didn’t leave on the early train. We don’t know what to say to him. And anyway, he wants to speak to you personally. So please open up this door. I’m sure he’ll be good enough to forgive the untidiness of your room.” Then the chief clerk called “Good morning, Mr. Samsa”. “He isn’t well”, said his mother to the chief clerk, while his father continued to speak through the door. “He isn’t well, please believe me. Why else would Gregor have missed a train! The lad only ever thinks about the business. It nearly makes me cross the way he never goes out in the evenings; he’s been in town for a week now but stayed home every evening. He sits with us in the kitchen and just reads the paper or studies train timetables. His idea of relaxation is working with his fretsaw. He’s made a little frame, for instance, it only took him two or three evenings, you’ll be amazed how nice it is; it’s hanging up in his room; you’ll see it as soon as Gregor opens the door. Anyway, I’m glad you’re here; we wouldn’t have been able to get Gregor to open the door by ourselves; he’s so stubborn; and I’m sure he isn’t well, he said this morning that he is, but he isn’t.” “I’ll be there in a moment”, said Gregor slowly and thoughtfully, but without moving so that he would not miss any word of the conversation. “Well I can’t think of any other way of explaining it, Mrs. Samsa”, said the chief clerk, “I hope it’s nothing serious. But on the other hand, I must say that if we people in commerce ever become slightly unwell then, fortunately or unfortunately as you like, we simply have to overcome it because of business considerations.” “Can the chief clerk come in to see you now then?”, asked his father impatiently, knocking at the door again. “No”, said Gregor. In the room on his right there followed a painful silence; in the room on his left his sister began to cry.",none
Metamorphosis,"So why did his sister not go and join the others? She had probably only just got up and had not even begun to get dressed. And why was she crying? Was it because he had not got up, and had not let the chief clerk in, because he was in danger of losing his job and if that happened his boss would once more pursue their parents with the same demands as before? There was no need to worry about things like that yet. Gregor was still there and had not the slightest intention of abandoning his family. For the time being he just lay there on the carpet, and no-one who knew the condition he was in would seriously have expected him to let the chief clerk in. It was only a minor discourtesy, and a suitable excuse could easily be found for it later on, it was not something for which Gregor could be sacked on the spot. And it seemed to Gregor much more sensible to leave him now in peace instead of disturbing him with talking at him and crying. But the others didn’t know what was happening, they were worried, that would excuse their behaviour.",high
Metamorphosis,"For the first fourteen days, Gregor’s parents could not bring themselves to come into the room to see him. He would often hear them say how they appreciated all the new work his sister was doing even though, before, they had seen her as a girl who was somewhat useless and frequently been annoyed with her. But now the two of them, father and mother, would often both wait outside the door of Gregor’s room while his sister tidied up in there, and as soon as she went out again she would have to tell them exactly how everything looked, what Gregor had eaten, how he had behaved this time and whether, perhaps, any slight improvement could be seen. His mother also wanted to go in and visit Gregor relatively soon but his father and sister at first persuaded her against it. Gregor listened very closely to all this, and approved fully. Later, though, she had to be held back by force, which made her call out: “Let me go and see Gregor, he is my unfortunate son! Can’t you understand I have to see him?”, and Gregor would think to himself that maybe it would be better if his mother came in, not every day of course, but one day a week, perhaps; she could understand everything much better than his sister who, for all her courage, was still just a child after all, and really might not have had an adult’s appreciation of the burdensome job she had taken on.",high
Metamorphosis,"After a while he had already moved so far across that it would have been hard for him to keep his balance if he rocked too hard. The time was now ten past seven and he would have to make a final decision very soon. Then there was a ring at the door of the flat. “That’ll be someone from work”, he said to himself, and froze very still, although his little legs only became all the more lively as they danced around. For a moment everything remained quiet. “They’re not opening the door”, Gregor said to himself, caught in some nonsensical hope. But then of course, the maid’s firm steps went to the door as ever and opened it. Gregor only needed to hear the visitor’s first words of greeting and he knew who it was—the chief clerk himself. Why did Gregor have to be the only one condemned to work for a company where they immediately became highly suspicious at the slightest shortcoming? Were all employees, every one of them, louts, was there not one of them who was faithful and devoted who would go so mad with pangs of conscience that he couldn’t get out of bed if he didn’t spend at least a couple of hours in the morning on company business? Was it really not enough to let one of the trainees make enquiries—assuming enquiries were even necessary—did the chief clerk have to come himself, and did they have to show the whole, innocent family that this was so suspicious that only the chief clerk could be trusted to have the wisdom to investigate it? And more because these thoughts had made him upset than through any proper decision, he swang himself with all his force out of the bed. There was a loud thump, but it wasn’t really a loud noise. His fall was softened a little by the carpet, and Gregor’s back was also more elastic than he had thought, which made the sound muffled and not too noticeable. He had not held his head carefully enough, though, and hit it as he fell; annoyed and in pain, he turned it and rubbed it against the carpet.",high
Metamorphosis,"So Gregor did not go into the room, but leant against the inside of the other door which was still held bolted in place. In this way only half of his body could be seen, along with his head above it which he leant over to one side as he peered out at the others. Meanwhile the day had become much lighter; part of the endless, grey-black building on the other side of the street—which was a hospital—could be seen quite clearly with the austere and regular line of windows piercing its façade; the rain was still falling, now throwing down large, individual droplets which hit the ground one at a time. The washing up from breakfast lay on the table; there was so much of it because, for Gregor’s father, breakfast was the most important meal of the day and he would stretch it out for several hours as he sat reading a number of different newspapers. On the wall exactly opposite there was photograph of Gregor when he was a lieutenant in the army, his sword in his hand and a carefree smile on his face as he called forth respect for his uniform and bearing. The door to the entrance hall was open and as the front door of the flat was also open he could see onto the landing and the stairs where they began their way down below.",none
Metamorphosis,"He slid back into his former position. “Getting up early all the time”, he thought, “it makes you stupid. You’ve got to get enough sleep. Other travelling salesmen live a life of luxury. For instance, whenever I go back to the guest house during the morning to copy out the contract, these gentlemen are always still sitting there eating their breakfasts. I ought to just try that with my boss; I’d get kicked out on the spot. But who knows, maybe that would be the best thing for me. If I didn’t have my parents to think about I’d have given in my notice a long time ago, I’d have gone up to the boss and told him just what I think, tell him everything I would, let him know just what I feel. He’d fall right off his desk! And it’s a funny sort of business to be sitting up there at your desk, talking down at your subordinates from up there, especially when you have to go right up close because the boss is hard of hearing. Well, there’s still some hope; once I’ve got the money together to pay off my parents’ debt to him—another five or six years I suppose—that’s definitely what I’ll do. That’s when I’ll make the big change. First of all though, I’ve got to get up, my train leaves at five.”",high
Metamorphosis,"The first thing he wanted to do was to get up in peace without being disturbed, to get dressed, and most of all to have his breakfast. Only then would he consider what to do next, as he was well aware that he would not bring his thoughts to any sensible conclusions by lying in bed. He remembered that he had often felt a slight pain in bed, perhaps caused by lying awkwardly, but that had always turned out to be pure imagination and he wondered how his imaginings would slowly resolve themselves today. He did not have the slightest doubt that the change in his voice was nothing more than the first sign of a serious cold, which was an occupational hazard for travelling salesmen.",high
Metamorphosis,"“But Sir”, called Gregor, beside himself and forgetting all else in the excitement, “I’ll open up immediately, just a moment. I’m slightly unwell, an attack of dizziness, I haven’t been able to get up. I’m still in bed now. I’m quite fresh again now, though. I’m just getting out of bed. Just a moment. Be patient! It’s not quite as easy as I’d thought. I’m quite alright now, though. It’s shocking, what can suddenly happen to a person! I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already. They must have noticed it. I don’t know why I didn’t let you know at work! But you always think you can get over an illness without staying at home. Please, don’t make my parents suffer! There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things. Maybe you haven’t read the latest contracts I sent in. I’ll set off with the eight o’clock train, as well, these few hours of rest have given me strength. You don’t need to wait, sir; I’ll be in the office soon after you, and please be so good as to tell that to the boss and recommend me to him!”",none
Metamorphosis,"When Gregor was already sticking half way out of the bed—the new method was more of a game than an effort, all he had to do was rock back and forth—it occurred to him how simple everything would be if somebody came to help him. Two strong people—he had his father and the maid in mind—would have been more than enough; they would only have to push their arms under the dome of his back, peel him away from the bed, bend down with the load and then be patient and careful as he swang over onto the floor, where, hopefully, the little legs would find a use. Should he really call for help though, even apart from the fact that all the doors were locked? Despite all the difficulty he was in, he could not suppress a smile at this thought.",high
Metamorphosis,"And he looked over at the alarm clock, ticking on the chest of drawers. “God in Heaven!” he thought. It was half past six and the hands were quietly moving forwards, it was even later than half past, more like quarter to seven. Had the alarm clock not rung? He could see from the bed that it had been set for four o’clock as it should have been; it certainly must have rung. Yes, but was it possible to quietly sleep through that furniture-rattling noise? True, he had not slept peacefully, but probably all the more deeply because of that. What should he do now? The next train went at seven; if he were to catch that he would have to rush like mad and the collection of samples was still not packed, and he did not at all feel particularly fresh and lively. And even if he did catch the train he would not avoid his boss’s anger as the office assistant would have been there to see the five o’clock train go, he would have put in his report about Gregor’s not being there a long time ago. The office assistant was the boss’s man, spineless, and with no understanding. What about if he reported sick? But that would be extremely strained and suspicious as in five years of service Gregor had never once yet been ill. His boss would certainly come round with the doctor from the medical insurance company, accuse his parents of having a lazy son, and accept the doctor’s recommendation not to make any claim as the doctor believed that no-one was ever ill but that many were workshy. And what’s more, would he have been entirely wrong in this case? Gregor did in fact, apart from excessive sleepiness after sleeping for so long, feel completely well and even felt much hungrier than usual.",high
Metamorphosis,"“Tonight she gets sacked”, said Mr. Samsa, but he received no reply from either his wife or his daughter as the charwoman seemed to have destroyed the peace they had only just gained. They got up and went over to the window where they remained with their arms around each other. Mr. Samsa twisted round in his chair to look at them and sat there watching for a while. Then he called out: “Come here, then. Let’s forget about all that old stuff, shall we. Come and give me a bit of attention”. The two women immediately did as he said, hurrying over to him where they kissed him and hugged him and then they quickly finished their letters.",none
Metamorphosis,"“Maybe now they’ll let me turn round”, thought Gregor and went back to work. He could not help panting loudly with the effort and had sometimes to stop and take a rest. No-one was making him rush any more, everything was left up to him. As soon as he had finally finished turning round he began to move straight ahead. He was amazed at the great distance that separated him from his room, and could not understand how he had covered that distance in his weak state a little while before and almost without noticing it. He concentrated on crawling as fast as he could and hardly noticed that there was not a word, not any cry, from his family to distract him. He did not turn his head until he had reached the doorway. He did not turn it all the way round as he felt his neck becoming stiff, but it was nonetheless enough to see that nothing behind him had changed, only his sister had stood up. With his last glance he saw that his mother had now fallen completely asleep.",high
Metamorphosis,"“Leave my home. Now!”, said Mr. Samsa, indicating the door and without letting the women from him. “What do you mean?”, asked the middle of the three gentlemen somewhat disconcerted, and he smiled sweetly. The other two held their hands behind their backs and continually rubbed them together in gleeful anticipation of a loud quarrel which could only end in their favour. “I mean just what I said”, answered Mr. Samsa, and, with his two companions, went in a straight line towards the man. At first, he stood there still, looking at the ground as if the contents of his head were rearranging themselves into new positions. “Alright, we’ll go then”, he said, and looked up at Mr. Samsa as if he had been suddenly overcome with humility and wanted permission again from Mr. Samsa for his decision. Mr. Samsa merely opened his eyes wide and briefly nodded to him several times. At that, and without delay, the man actually did take long strides into the front hallway; his two friends had stopped rubbing their hands some time before and had been listening to what was being said. Now they jumped off after their friend as if taken with a sudden fear that Mr. Samsa might go into the hallway in front of them and break the connection with their leader. Once there, all three took their hats from the stand, took their sticks from the holder, bowed without a word and left the premises. Mr. Samsa and the two women followed them out onto the landing; but they had had no reason to mistrust the men’s intentions and as they leaned over the landing they saw how the three gentlemen made slow but steady progress down the many steps. As they turned the corner on each floor they disappeared and would reappear a few moments later; the further down they went, the more that the Samsa family lost interest in them; when a butcher’s boy, proud of posture with his tray on his head, passed them on his way up and came nearer than they were, Mr. Samsa and the women came away from the landing and went, as if relieved, back into the flat.",low
Metamorphosis,"But Grete’s words had made her mother quite worried, she stepped to one side, saw the enormous brown patch against the flowers of the wallpaper, and before she even realised it was Gregor that she saw screamed: “Oh God, oh God!” Arms outstretched, she fell onto the couch as if she had given up everything and stayed there immobile. “Gregor!” shouted his sister, glowering at him and shaking her fist. That was the first word she had spoken to him directly since his transformation. She ran into the other room to fetch some kind of smelling salts to bring her mother out of her faint; Gregor wanted to help too—he could save his picture later, although he stuck fast to the glass and had to pull himself off by force; then he, too, ran into the next room as if he could advise his sister like in the old days; but he had to just stand behind her doing nothing; she was looking into various bottles, he startled her when she turned round; a bottle fell to the ground and broke; a splinter cut Gregor’s face, some kind of caustic medicine splashed all over him; now, without delaying any longer, Grete took hold of all the bottles she could and ran with them in to her mother; she slammed the door shut with her foot. So now Gregor was shut out from his mother, who, because of him, might be near to death; he could not open the door if he did not want to chase his sister away, and she had to stay with his mother; there was nothing for him to do but wait; and, oppressed with anxiety and self-reproach, he began to crawl about, he crawled over everything, walls, furniture, ceiling, and finally in his confusion as the whole room began to spin around him he fell down into the middle of the dinner table.",low
Metamorphosis,"Once during that long evening, the door on one side of the room was opened very slightly and hurriedly closed again; later on the door on the other side did the same; it seemed that someone needed to enter the room but thought better of it. Gregor went and waited immediately by the door, resolved either to bring the timorous visitor into the room in some way or at least to find out who it was; but the door was opened no more that night and Gregor waited in vain. The previous morning while the doors were locked everyone had wanted to get in there to him, but now, now that he had opened up one of the doors and the other had clearly been unlocked some time during the day, no-one came, and the keys were in the other sides.",none
Metamorphosis,"The gentlemen who rented the room would sometimes take their evening meal at home in the living room that was used by everyone, and so the door to this room was often kept closed in the evening. But Gregor found it easy to give up having the door open, he had, after all, often failed to make use of it when it was open and, without the family having noticed it, lain in his room in its darkest corner. One time, though, the charwoman left the door to the living room slightly open, and it remained open when the gentlemen who rented the room came in in the evening and the light was put on. They sat up at the table where, formerly, Gregor had taken his meals with his father and mother, they unfolded the serviettes and picked up their knives and forks. Gregor’s mother immediately appeared in the doorway with a dish of meat and soon behind her came his sister with a dish piled high with potatoes. The food was steaming, and filled the room with its smell. The gentlemen bent over the dishes set in front of them as if they wanted to test the food before eating it, and the gentleman in the middle, who seemed to count as an authority for the other two, did indeed cut off a piece of meat while it was still in its dish, clearly wishing to establish whether it was sufficiently cooked or whether it should be sent back to the kitchen. It was to his satisfaction, and Gregor’s mother and sister, who had been looking on anxiously, began to breathe again and smiled.",low
Metamorphosis,"Gregor slowly pushed his way over to the door with the chair. Once there he let go of it and threw himself onto the door, holding himself upright against it using the adhesive on the tips of his legs. He rested there a little while to recover from the effort involved and then set himself to the task of turning the key in the lock with his mouth. He seemed, unfortunately, to have no proper teeth—how was he, then, to grasp the key?—but the lack of teeth was, of course, made up for with a very strong jaw; using the jaw, he really was able to start the key turning, ignoring the fact that he must have been causing some kind of damage as a brown fluid came from his mouth, flowed over the key and dripped onto the floor. “Listen”, said the chief clerk in the next room, “he’s turning the key.” Gregor was greatly encouraged by this; but they all should have been calling to him, his father and his mother too: “Well done, Gregor”, they should have cried, “keep at it, keep hold of the lock!” And with the idea that they were all excitedly following his efforts, he bit on the key with all his strength, paying no attention to the pain he was causing himself. As the key turned round he turned around the lock with it, only holding himself upright with his mouth, and hung onto the key or pushed it down again with the whole weight of his body as needed. The clear sound of the lock as it snapped back was Gregor’s sign that he could break his concentration, and as he regained his breath he said to himself: “So, I didn’t need the locksmith after all”. Then he lay his head on the handle of the door to open it completely.",high
Metamorphosis,"And while Gregor gushed out these words, hardly knowing what he was saying, he made his way over to the chest of drawers—this was easily done, probably because of the practise he had already had in bed—where he now tried to get himself upright. He really did want to open the door, really did want to let them see him and to speak with the chief clerk; the others were being so insistent, and he was curious to learn what they would say when they caught sight of him. If they were shocked then it would no longer be Gregor’s responsibility and he could rest. If, however, they took everything calmly he would still have no reason to be upset, and if he hurried he really could be at the station for eight o’clock. The first few times he tried to climb up on the smooth chest of drawers he just slid down again, but he finally gave himself one last swing and stood there upright; the lower part of his body was in serious pain but he no longer gave any attention to it. Now he let himself fall against the back of a nearby chair and held tightly to the edges of it with his little legs. By now he had also calmed down, and kept quiet so that he could listen to what the chief clerk was saying.",low
Metamorphosis,"It was impossible for Gregor to find out what they had told the doctor and the locksmith that first morning to get them out of the flat. As nobody could understand him, nobody, not even his sister, thought that he could understand them, so he had to be content to hear his sister’s sighs and appeals to the saints as she moved about his room. It was only later, when she had become a little more used to everything—there was, of course, no question of her ever becoming fully used to the situation—that Gregor would sometimes catch a friendly comment, or at least a comment that could be construed as friendly. “He’s enjoyed his dinner today”, she might say when he had diligently cleared away all the food left for him, or if he left most of it, which slowly became more and more frequent, she would often say, sadly, “now everything’s just been left there again”.",none
Metamorphosis,"This money, however, was certainly not enough to enable the family to live off the interest; it was enough to maintain them for, perhaps, one or two years, no more. That’s to say, it was money that should not really be touched but set aside for emergencies; money to live on had to be earned. His father was healthy but old, and lacking in self confidence. During the five years that he had not been working—the first holiday in a life that had been full of strain and no success—he had put on a lot of weight and become very slow and clumsy. Would Gregor’s elderly mother now have to go and earn money? She suffered from asthma and it was a strain for her just to move about the home, every other day would be spent struggling for breath on the sofa by the open window. Would his sister have to go and earn money? She was still a child of seventeen, her life up till then had been very enviable, consisting of wearing nice clothes, sleeping late, helping out in the business, joining in with a few modest pleasures and most of all playing the violin. Whenever they began to talk of the need to earn money, Gregor would always first let go of the door and then throw himself onto the cool, leather sofa next to it, as he became quite hot with shame and regret.",high
Metamorphosis,"The first thing he wanted to do was get the lower part of his body out of the bed, but he had never seen this lower part, and could not imagine what it looked like; it turned out to be too hard to move; it went so slowly; and finally, almost in a frenzy, when he carelessly shoved himself forwards with all the force he could gather, he chose the wrong direction, hit hard against the lower bedpost, and learned from the burning pain he felt that the lower part of his body might well, at present, be the most sensitive.",none
Metamorphosis,"Throughout all this time, Gregor could not remember having heard the violin being played, but this evening it began to be heard from the kitchen. The three gentlemen had already finished their meal, the one in the middle had produced a newspaper, given a page to each of the others, and now they leant back in their chairs reading them and smoking. When the violin began playing they became attentive, stood up and went on tip-toe over to the door of the hallway where they stood pressed against each other. Someone must have heard them in the kitchen, as Gregor’s father called out: “Is the playing perhaps unpleasant for the gentlemen? We can stop it straight away.” “On the contrary”, said the middle gentleman, “would the young lady not like to come in and play for us here in the room, where it is, after all, much more cosy and comfortable?” “Oh yes, we’d love to”, called back Gregor’s father as if he had been the violin player himself. The gentlemen stepped back into the room and waited. Gregor’s father soon appeared with the music stand, his mother with the music and his sister with the violin. She calmly prepared everything for her to begin playing; his parents, who had never rented a room out before and therefore showed an exaggerated courtesy towards the three gentlemen, did not even dare to sit on their own chairs; his father leant against the door with his right hand pushed in between two buttons on his uniform coat; his mother, though, was offered a seat by one of the gentlemen and sat—leaving the chair where the gentleman happened to have placed it—out of the way in a corner.",none
Metamorphosis,"With a kind of stubbornness, Gregor’s father refused to take his uniform off even at home; while his nightgown hung unused on its peg Gregor’s father would slumber where he was, fully dressed, as if always ready to serve and expecting to hear the voice of his superior even here. The uniform had not been new to start with, but as a result of this it slowly became even shabbier despite the efforts of Gregor’s mother and sister to look after it. Gregor would often spend the whole evening looking at all the stains on this coat, with its gold buttons always kept polished and shiny, while the old man in it would sleep, highly uncomfortable but peaceful.",none
Metamorphosis,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.",none
Metamorphosis,"As soon as it struck ten, Gregor’s mother would speak gently to his father to wake him and try to persuade him to go to bed, as he couldn’t sleep properly where he was and he really had to get his sleep if he was to be up at six to get to work. But since he had been in work he had become more obstinate and would always insist on staying longer at the table, even though he regularly fell asleep and it was then harder than ever to persuade him to exchange the chair for his bed. Then, however much mother and sister would importune him with little reproaches and warnings he would keep slowly shaking his head for a quarter of an hour with his eyes closed and refusing to get up. Gregor’s mother would tug at his sleeve, whisper endearments into his ear, Gregor’s sister would leave her work to help her mother, but nothing would have any effect on him. He would just sink deeper into his chair. Only when the two women took him under the arms he would abruptly open his eyes, look at them one after the other and say: “What a life! This is what peace I get in my old age!” And supported by the two women he would lift himself up carefully as if he were carrying the greatest load himself, let the women take him to the door, send them off and carry on by himself while Gregor’s mother would throw down her needle and his sister her pen so that they could run after his father and continue being of help to him.",none
Metamorphosis,"Gregor’s sister rushed to his mother and put her hand on her forehead. Her words seemed to give Gregor’s father some more definite ideas. He sat upright, played with his uniform cap between the plates left by the three gentlemen after their meal, and occasionally looked down at Gregor as he lay there immobile.",none
Metamorphosis,"So then he tried to get the top part of his body out of the bed first, carefully turning his head to the side. This he managed quite easily, and despite its breadth and its weight, the bulk of his body eventually followed slowly in the direction of the head. But when he had at last got his head out of the bed and into the fresh air it occurred to him that if he let himself fall it would be a miracle if his head were not injured, so he became afraid to carry on pushing himself forward the same way. And he could not knock himself out now at any price; better to stay in bed than lose consciousness.",high
Metamorphosis,"One day, about a month after Gregor’s transformation when his sister no longer had any particular reason to be shocked at his appearance, she came into the room a little earlier than usual and found him still staring out the window, motionless, and just where he would be most horrible. In itself, his sister’s not coming into the room would have been no surprise for Gregor as it would have been difficult for her to immediately open the window while he was still there, but not only did she not come in, she went straight back and closed the door behind her, a stranger would have thought he had threatened her and tried to bite her. Gregor went straight to hide himself under the couch, of course, but he had to wait until midday before his sister came back and she seemed much more uneasy than usual. It made him realise that she still found his appearance unbearable and would continue to do so, she probably even had to overcome the urge to flee when she saw the little bit of him that protruded from under the couch. One day, in order to spare her even this sight, he spent four hours carrying the bedsheet over to the couch on his back and arranged it so that he was completely covered and his sister would not be able to see him even if she bent down. If she did not think this sheet was necessary then all she had to do was take it off again, as it was clear enough that it was no pleasure for Gregor to cut himself off so completely. She left the sheet where it was. Gregor even thought he glimpsed a look of gratitude one time when he carefully looked out from under the sheet to see how his sister liked the new arrangement.",low
Mrs. Dalloway,"But she’s not married; she’s young; quite young, thought Peter, the red carnation he had seen her wear as she came across Trafalgar Square burning again in his eyes and making her lips red. But she waited at the kerbstone. There was a dignity about her. She was not worldly, like Clarissa; not rich, like Clarissa. Was she, he wondered as she moved, respectable? Witty, with a lizard’s flickering tongue, he thought (for one must invent, must allow oneself a little diversion), a cool waiting wit, a darting wit; not noisy.",high
Mrs. Dalloway,"So, with her weak eyesight, Ellie Henderson craned rather forward, and it wasn’t so much she who minded not having any one to talk to (she hardly knew anybody there), for she felt that they were all such interesting people to watch; politicians presumably; Richard Dalloway’s friends; but it was Richard himself who felt that he could not let the poor creature go on standing there all the evening by herself.",high
Mrs. Dalloway,"It was odd; it was true; lots of people felt it. Peter Walsh, who had done just respectably, filled the usual posts adequately, was liked, but thought a little cranky, gave himself airs--it was odd that _he_ should have had, especially now that his hair was grey, a contented look; a look of having reserves. It was this that made him attractive to women who liked the sense that he was not altogether manly. There was something unusual about him, or something behind him. It might be that he was bookish--never came to see you without taking up the book on the table (he was now reading, with his bootlaces trailing on the floor); or that he was a gentleman, which showed itself in the way he knocked the ashes out of his pipe, and in his manners of course to women. For it was very charming and quite ridiculous how easily some girl without a grain of sense could twist him round her finger. But at her own risk. That is to say, though he might be ever so easy, and indeed with his gaiety and good-breeding fascinating to be with, it was only up to a point. She said something--no, no; he saw through that. He wouldn’t stand that--no, no. Then he could shout and rock and hold his sides together over some joke with men. He was the best judge of cooking in India. He was a man. But not the sort of man one had to respect--which was a mercy; not like Major Simmons, for instance; not in the least like that, Daisy thought, when, in spite of her two small children, she used to compare them.",high
Mrs. Dalloway,"“Yes,” said Peter. “Yes, yes, yes,” he said, as if she drew up to the surface something which positively hurt him as it rose. Stop! Stop! he wanted to cry. For he was not old; his life was not over; not by any means. He was only just past fifty. Shall I tell her, he thought, or not? He would like to make a clean breast of it all. But she is too cold, he thought; sewing, with her scissors; Daisy would look ordinary beside Clarissa. And she would think me a failure, which I am in their sense, he thought; in the Dalloways’ sense. Oh yes, he had no doubt about that; he was a failure, compared with all this--the inlaid table, the mounted paper-knife, the dolphin and the candlesticks, the chair-covers and the old valuable English tinted prints--he was a failure! I detest the smugness of the whole affair he thought; Richard’s doing, not Clarissa’s; save that she married him. (Here Lucy came into the room, carrying silver, more silver, but charming, slender, graceful she looked, he thought, as she stooped to put it down.) And this has been going on all the time! he thought; week after week; Clarissa’s life; while I--he thought; and at once everything seemed to radiate from him; journeys; rides; quarrels; adventures; bridge parties; love affairs; work; work, work! and he took out his knife quite openly--his old horn-handled knife which Clarissa could swear he had had these thirty years--and clenched his fist upon it.",high
Mrs. Dalloway,"Or there were the poets and thinkers. Suppose he had had that passion, and had gone to Sir William Bradshaw, a great doctor yet to her obscurely evil, without sex or lust, extremely polite to women, but capable of some indescribable outrage--forcing your soul, that was it--if this young man had gone to him, and Sir William had impressed him, like that, with his power, might he not then have said (indeed she felt it now), Life is made intolerable; they make life intolerable, men like that?",none
Mrs. Dalloway,"So, thought Septimus, looking up, they are signalling to me. Not indeed in actual words; that is, he could not read the language yet; but it was plain enough, this beauty, this exquisite beauty, and tears filled his eyes as he looked at the smoke words languishing and melting in the sky and bestowing upon him in their inexhaustible charity and laughing goodness one shape after another of unimaginable beauty and signalling their intention to provide him, for nothing, for ever, for looking merely, with beauty, more beauty! Tears ran down his cheeks.",high
Mrs. Dalloway,"She flattered him; she fooled him, thought Clarissa; shaping the woman, the wife of the Major in the Indian Army, with three strokes of a knife. What a waste! What a folly! All his life long Peter had been fooled like that; first getting sent down from Oxford; next marrying the girl on the boat going out to India; now the wife of a Major in the Indian Army--thank Heaven she had refused to marry him! Still, he was in love; her old friend, her dear Peter, he was in love.",high
Mrs. Dalloway,"Roses, she thought sardonically. All trash, m’dear. For really, what with eating, drinking, and mating, the bad days and good, life had been no mere matter of roses, and what was more, let me tell you, Carrie Dempster had no wish to change her lot with any woman’s in Kentish Town! But, she implored, pity. Pity, for the loss of roses. Pity she asked of Maisie Johnson, standing by the hyacinth beds.",high
